_time,Unit-Name,new-email,message,Agent,Location
2016-11-22T16:40:40.400-0500,Academic_Unit2,User7583@virginia.edu,Email Opened,,
2016-11-22T16:17:12.023-0500,Academic_Unit1,User1944@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Off Grounds
2016-11-22T16:17:05.347-0500,Academic_Unit1,User1944@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,Off Grounds
2016-11-22T15:47:32.609-0500,Academic_Unit2,User5904@virginia.edu,Submitted Data,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0,On Grounds
2016-11-22T15:47:18.343-0500,Academic_Unit2,User5904@virginia.edu,Clicked Link,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0,On Grounds
2016-11-22T15:08:31.157-0500,Academic_Unit2,User2500@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",Off Grounds
2016-11-22T15:08:16.471-0500,Academic_Unit2,User2500@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2",Off Grounds
2016-11-22T14:46:48.004-0500,Academic_Unit2,User5499@virginia.edu,Clicked Link,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",Off Grounds
2016-11-22T14:46:40.503-0500,Academic_Unit2,User5499@virginia.edu,Email Opened,,
2016-11-22T14:27:12.706-0500,Academic_Unit2,User312@virginia.edu,Email Opened,,
2016-11-22T14:17:00.981-0500,Academic_Unit2,User5795@virginia.edu,Email Opened,,
2016-11-22T14:12:47.520-0500,Academic_Unit2,User6806@virginia.edu,Email Opened,,
2016-11-22T13:57:25.306-0500,Academic_Unit2,User5526@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,On Grounds
2016-11-22T13:57:14.824-0500,Academic_Unit2,User5526@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,On Grounds
2016-11-22T13:49:48.558-0500,Academic_Unit2,User1566@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10",On Grounds
2016-11-22T13:49:25.815-0500,Academic_Unit2,User1566@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10",On Grounds
2016-11-22T13:40:52.633-0500,Academic_Unit2,User4077@virginia.edu,Email Opened,,
2016-11-22T13:37:41.418-0500,Academic_Unit2,User1554@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T13:37:30.961-0500,Academic_Unit2,User1554@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T13:18:26.542-0500,Academic_Unit1,User6504@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,On Grounds
2016-11-22T13:18:11.660-0500,Academic_Unit1,User6504@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,On Grounds
2016-11-22T13:07:28.982-0500,Academic_Unit2,User3909@virginia.edu,Submitted Data,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",Off Grounds
2016-11-22T13:07:10.971-0500,Academic_Unit2,User3909@virginia.edu,Clicked Link,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",Off Grounds
2016-11-22T13:05:33.228-0500,Academic_Unit2,User3491@virginia.edu,Email Opened,,
2016-11-22T12:57:56.022-0500,Academic_Unit2,User5198@virginia.edu,Clicked Link,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:50.0) Gecko/20100101 Firefox/50.0,On Grounds
2016-11-22T12:57:32.978-0500,Academic_Unit2,User6684@virginia.edu,Email Opened,,
2016-11-22T12:56:53.635-0500,Academic_Unit2,User4416@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T12:56:43.047-0500,Academic_Unit2,User4416@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T12:56:36.486-0500,Academic_Unit2,User4416@virginia.edu,Email Opened,,
2016-11-22T12:47:04.752-0500,Academic_Unit2,User8122@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Off Grounds
2016-11-22T12:46:55.692-0500,Academic_Unit2,User8122@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Off Grounds
2016-11-22T12:08:07.984-0500,Academic_Unit2,User7639@virginia.edu,Email Opened,,
2016-11-22T12:04:56.133-0500,Academic_Unit2,User6880@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-22T12:04:45.416-0500,Academic_Unit2,User6880@virginia.edu,Email Opened,,
2016-11-22T12:04:42.287-0500,Academic_Unit2,User6880@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-22T11:48:21.435-0500,Academic_Unit2,User3807@virginia.edu,Clicked Link,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),On Grounds
2016-11-22T11:00:50.950-0500,Academic_Unit2,User3022@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-22T11:00:32.107-0500,Academic_Unit2,User4949@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",On Grounds
2016-11-22T11:00:22.267-0500,Academic_Unit2,User4949@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",On Grounds
2016-11-22T10:41:59.650-0500,Academic_Unit1,User6060@virginia.edu,Email Opened,,
2016-11-22T10:28:42.247-0500,Academic_Unit2,User5205@virginia.edu,Email Opened,,
2016-11-22T10:23:50.795-0500,Academic_Unit2,User3300@virginia.edu,Email Opened,,
2016-11-22T09:35:47.817-0500,Academic_Unit2,User8610@virginia.edu,Email Opened,,
2016-11-22T09:22:18.878-0500,Academic_Unit2,User5094@virginia.edu,Email Opened,,
2016-11-22T09:09:11.454-0500,Academic_Unit1,User4068@virginia.edu,Email Opened,,
2016-11-22T09:08:59.130-0500,Academic_Unit2,User8702@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,On Grounds
2016-11-22T09:00:14.342-0500,Academic_Unit1,User8600@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Off Grounds
2016-11-22T09:00:05.083-0500,Academic_Unit1,User8600@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Off Grounds
2016-11-22T08:58:02.553-0500,Academic_Unit2,User1426@virginia.edu,Email Opened,,
2016-11-22T08:28:31.505-0500,Academic_Unit2,User8838@virginia.edu,Email Opened,,
2016-11-21T23:45:54.833-0500,Academic_Unit2,User5288@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-21T23:45:45.642-0500,Academic_Unit2,User5288@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-21T23:16:38.843-0500,Academic_Unit2,User2974@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",Off Grounds
2016-11-21T23:14:04.436-0500,Academic_Unit2,User2974@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50",Off Grounds
2016-11-21T23:14:00.636-0500,Academic_Unit2,User2974@virginia.edu,Email Opened,,
2016-11-21T23:10:10.718-0500,Academic_Unit2,User4591@virginia.edu,Email Opened,,
2016-11-21T23:02:54.067-0500,Academic_Unit1,User79@virginia.edu,Email Opened,,
2016-11-21T22:32:17.759-0500,Academic_Unit2,User6918@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Off Grounds
2016-11-21T22:22:46.114-0500,Academic_Unit2,User1867@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-21T22:22:37.374-0500,Academic_Unit2,User1867@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-21T20:57:37.831-0500,Academic_Unit1,User612@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-21T20:57:28.820-0500,Academic_Unit1,User612@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",Off Grounds
2016-11-21T20:10:19.760-0500,Academic_Unit2,User5527@virginia.edu,Submitted Data,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",Off Grounds
2016-11-21T20:09:59.644-0500,Academic_Unit2,User5527@virginia.edu,Clicked Link,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1",Off Grounds
2016-11-21T20:09:54.188-0500,Academic_Unit2,User5527@virginia.edu,Email Opened,,
2016-11-21T20:04:39.341-0500,Academic_Unit1,User930@virginia.edu,Email Opened,,
2016-11-21T19:33:09.872-0500,Academic_Unit1,User8877@virginia.edu,Submitted Data,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4",Off Grounds
2016-11-21T19:32:26.222-0500,Academic_Unit1,User8877@virginia.edu,Clicked Link,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4",Off Grounds
2016-11-21T19:32:18.708-0500,Academic_Unit1,User8877@virginia.edu,Email Opened,,
2016-11-21T19:12:20.651-0500,Academic_Unit1,User123@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-21T19:12:13.446-0500,Academic_Unit1,User123@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",Off Grounds
2016-11-21T18:39:05.110-0500,Academic_Unit1,User3910@virginia.edu,Email Opened,,
2016-11-21T18:31:00.990-0500,Academic_Unit2,User8148@virginia.edu,Email Opened,,
2016-11-21T18:20:05.999-0500,Academic_Unit2,User3392@virginia.edu,Email Opened,,
2016-11-21T18:17:55.557-0500,Academic_Unit1,User5371@virginia.edu,Email Opened,,
2016-11-21T18:00:27.454-0500,Academic_Unit1,User6309@virginia.edu,Email Opened,,
2016-11-21T17:16:11.403-0500,Academic_Unit1,User4987@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-21T17:15:59.540-0500,Academic_Unit1,User4987@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-21T17:10:07.133-0500,Academic_Unit1,User6862@virginia.edu,Email Opened,,
2016-11-21T17:05:49.674-0500,Academic_Unit2,User4728@virginia.edu,Email Opened,,
2016-11-21T17:04:43.814-0500,Academic_Unit2,User4728@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Off Grounds
2016-11-21T17:04:37.296-0500,Academic_Unit2,User4728@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,Off Grounds
2016-11-21T16:44:28.595-0500,Academic_Unit2,User6469@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",Off Grounds
2016-11-21T16:34:45.134-0500,Academic_Unit2,User2539@virginia.edu,Email Opened,,
2016-11-21T15:49:44.035-0500,Academic_Unit2,User1763@virginia.edu,Submitted Data,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930P Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",Off Grounds
2016-11-21T15:49:29.104-0500,Academic_Unit2,User1763@virginia.edu,Clicked Link,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G930P Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.85 Mobile Safari/537.36",Off Grounds
2016-11-21T15:49:22.753-0500,Academic_Unit2,User1763@virginia.edu,Email Opened,,
2016-11-21T15:40:34.291-0500,Academic_Unit1,User6423@virginia.edu,Email Opened,,
2016-11-21T15:12:49.394-0500,Academic_Unit2,User6977@virginia.edu,Submitted Data,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:50.0) Gecko/20100101 Firefox/50.0,Off Grounds
2016-11-21T15:12:35.870-0500,Academic_Unit2,User6977@virginia.edu,Clicked Link,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:50.0) Gecko/20100101 Firefox/50.0,Off Grounds
2016-11-21T15:12:32.575-0500,Academic_Unit2,User6977@virginia.edu,Email Opened,,
2016-11-21T14:59:42.299-0500,Academic_Unit1,User7169@virginia.edu,Email Opened,,
2016-11-21T14:55:52.140-0500,Academic_Unit1,User1117@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",On Grounds
2016-11-21T14:55:41.950-0500,Academic_Unit1,User1117@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",On Grounds
2016-11-21T14:32:38.686-0500,Academic_Unit1,User3075@virginia.edu,Email Opened,,
2016-11-21T14:20:49.256-0500,Academic_Unit2,User6114@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",Off Grounds
2016-11-21T14:20:40.183-0500,Academic_Unit2,User6114@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",Off Grounds
2016-11-21T14:20:35.856-0500,Academic_Unit2,User6114@virginia.edu,Email Opened,,
2016-11-21T14:08:11.260-0500,Academic_Unit2,User3350@virginia.edu,Submitted Data,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-21T14:08:02.756-0500,Academic_Unit2,User3350@virginia.edu,Clicked Link,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",On Grounds
2016-11-21T14:02:13.935-0500,Academic_Unit1,User6175@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Off Grounds
2016-11-21T14:02:04.360-0500,Academic_Unit1,User6175@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Off Grounds
2016-11-21T13:45:08.049-0500,Academic_Unit2,User4782@virginia.edu,Email Opened,,
2016-11-21T13:43:54.032-0500,Academic_Unit2,User215@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",On Grounds
2016-11-21T13:43:40.772-0500,Academic_Unit2,User215@virginia.edu,Clicked Link,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",On Grounds
2016-11-21T13:06:28.056-0500,Academic_Unit2,User2516@virginia.edu,Email Opened,,
2016-11-21T12:51:32.469-0500,Academic_Unit1,User1110@virginia.edu,Email Opened,,
2016-11-21T12:48:38.548-0500,Academic_Unit1,User3761@virginia.edu,Email Opened,,
2016-11-21T12:25:43.078-0500,Academic_Unit1,User3186@virginia.edu,Email Opened,,
2016-11-21T11:53:56.453-0500,Academic_Unit2,User409@virginia.edu,Email Opened,,
2016-11-21T11:53:50.340-0500,Academic_Unit1,User7572@virginia.edu,Submitted Data,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",Off Grounds
2016-11-21T11:53:01.809-0500,Academic_Unit1,User7572@virginia.edu,Clicked Link,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",Off Grounds
2016-11-21T11:29:30.802-0500,Academic_Unit2,User1566@virginia.edu,Email Opened,,
2016-11-21T11:25:13.792-0500,Academic_Unit2,User1335@virginia.edu,Email Opened,,
2016-11-21T11:10:58.779-0500,Academic_Unit1,User5555@virginia.edu,Email Opened,,
2016-11-21T11:07:56.016-0500,Academic_Unit1,User3892@virginia.edu,Submitted Data,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG-SM-N9009 Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.5 Chrome/38.0.2125.102 Mobile Safari/537.36",Off Grounds
2016-11-21T11:07:34.209-0500,Academic_Unit1,User3892@virginia.edu,Clicked Link,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG-SM-N9009 Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.5 Chrome/38.0.2125.102 Mobile Safari/537.36",Off Grounds
2016-11-21T11:05:09.181-0500,Academic_Unit1,User48@virginia.edu,Clicked Link,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0,Off Grounds
2016-11-21T11:03:29.332-0500,Academic_Unit1,User48@virginia.edu,Submitted Data,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0,Off Grounds
2016-11-21T10:49:27.721-0500,Academic_Unit2,User6349@virginia.edu,Submitted Data,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36",Off Grounds
